,play_type,field_goal_made,yards_gained,time_elapsed,quarter,quarter_seconds_remaining,turnover,touchdown,posteam
0,run,,-7.667000000000001,36,1,900,False,False,KC
1,pass,,10.113,36,1,864,False,False,KC
2,run,,4.15,22,1,828,False,False,KC
3,punt,,40.0,35,1,806,False,False,KC
4,pass,,10.016000000000002,15,1,771,False,False,LV
5,pass,,10.016000000000002,17,1,756,False,False,LV
6,run,,3.5740000000000003,21,1,739,False,False,LV
7,pass,,10.016000000000002,26,1,718,False,False,LV
8,pass,,10.016000000000002,28,1,692,False,False,LV
9,pass,,-5.902000000000001,29,1,664,False,False,LV
10,run,,3.5740000000000003,40,1,635,False,False,LV
11,pass,,10.016000000000002,19,1,595,False,False,LV
12,field_goal,False,0.0,15,1,576,False,False,LV
13,pass,,10.113,20,1,561,False,False,KC
14,run,,4.15,34,1,541,False,False,KC
15,pass,,10.113,31,1,507,False,False,KC
16,pass,,10.113,21,1,476,False,False,KC
17,pass,,10.113,20,1,455,False,False,KC
18,run,,4.15,22,1,435,False,False,KC
19,run,,4.15,22,1,413,False,False,KC
20,run,,4.15,37,1,391,False,False,KC
21,run,,4.15,23,1,354,False,False,KC
22,pass,,10.113,39,1,331,False,False,KC
23,pass,,10.113,17,1,292,False,True,KC
24,pass,,10.016000000000002,33,1,275,False,False,LV
25,pass,,-5.902000000000001,35,1,242,False,False,LV
26,pass,,-5.902000000000001,17,1,207,False,False,LV
27,run,,3.5740000000000003,40,1,190,False,False,LV
28,punt,,40.0,31,1,150,False,False,LV
29,pass,,10.113,38,1,119,False,False,KC
30,run,,4.15,32,1,81,False,False,KC
31,run,,4.15,34,1,49,False,False,KC
32,run,,4.15,39,1,15,False,False,KC
33,run,,4.15,18,2,900,False,False,KC
34,pass,,10.113,40,2,882,False,False,KC
35,pass,,10.113,26,2,842,False,False,KC
36,pass,,0.0,30,2,816,True,False,KC
37,pass,,10.016000000000002,20,2,786,False,False,LV
38,run,,3.5740000000000003,33,2,766,False,False,LV
39,pass,,10.016000000000002,31,2,733,False,False,LV
40,run,,3.5740000000000003,28,2,702,False,False,LV
41,pass,,10.016000000000002,26,2,674,False,False,LV
